Date,Article Title,Operative,City/Town,State/Provence,Country,Reference,NumberPeopleAffected,OutageDurationMinutes
9/4/2018,Raccoon Causes Power Outage,Raccoon,Greeneville,NC,United States,https://www.greenevillesun.com/news/local_news/raccoon-causes-power-outage/article_0cae760e-f5de-56d1-bc68-ca2c364bb386.html,3400,
9/3/2018,Power restored after widespread outage in northeast metro Denver,Snake,Commerace City,CO,United States,https://kdvr.com/2018/09/03/widespread-power-outage-reported-in-northeast-metro-denver/,,
8/28/2018,A dormouse plunges the city of Orbe in the dark,Mouse,Orbe,,Switzerland,https://www.20min.ch/ro/news/vaud/story/Un-loir-plonge-la-ville-d-Orbe-dans-le-noir-29820574,2500,56
8/28/2018,Squirrel causes power outage in Grass Valley,Squirrel,Grass Valley,CA,United States,https://www.theunion.com/news/local-news/squirrel-causes-power-outage-in-grass-valley/,1200,
8/25/2018,Squirrel knocks out power for thousands in North Spokane,Squirrel,Spokane,WA,United States,https://www.kxly.com/news/squirrel-knocks-out-power-for-thousands-in-north-spokane/786236317,6000,
8/24/2018,It looks like a raccoon caused some trouble,Raccoon,Columbus,OH,United States,https://twitter.com/AEPnews/status/1032975571624624134,,
8/24/2018,Animal causes power outage for nearly 3K,Animal,San Diego,CA,United States,https://fox5sandiego.com/2018/08/24/animal-causes-power-outage-for-nearly-3k/,3000,
8/24/2018,Beaver causes power outage affecting 595 Consumer Energy customers,Beaver,Marshalltown,IA,United States,http://www.timesrepublican.com/news/todays-news/2018/08/beaver-causes-power-outage-affecting-595-consumer-energy-customers-2/,595,
8/24/2018,Bird's nest too close to electrical lines sparks house fire,Bird,San Antonio,TX,United States,https://foxsanantonio.com/news/local/birds-nest-too-close-to-electrical-lines-sparks-house-fire,,
8/23/2018,NV Energy 'does not pay for bird-related damage' when old power poles spark fires,Bird,WASHOE VALLEY,NV,United States,https://mynews4.com/news/local/nv-energy-does-not-pay-for-bird-related-damage-when-old-power-poles-spark-fires,,
8/23/2018,Squirrel that tripped  a fuse on Sunset Lane,Squirrel,Portland,MA,United States,https://twitter.com/Unitil/status/1032620875403722752,,
8/23/2018,Bird causes power outage,Bird,El Paso,TX,United States,https://twitter.com/ElPasoElectric/status/1032633174952763393,,
8/23/2018,Power restored; outage caused by a bird,Bird,Palo Alto,CA,United States,https://padailypost.com/2018/08/23/power-outage-reported-in-palo-alto/,240,60
8/21/2018,Squirrel causes power outage,Squirrel,Arab,AL,United States,http://www.thearabtribune.com/news/squirrel-causes-power-outage/image_6c46abe2-b2b3-11e8-bef3-fb8cb7f31b25.html,,
8/20/2018,bird of prey provides in stone for power failure,Bird,Zollernalbkreis,,Germany,https://www.schwarzwaelder-bote.de/inhalt.hechingen-greifvogel-sorgt-in-stein-fuer-stromausfall.6fcc22b3-6160-4455-8590-55cf0aa98215.html,,
8/19/2018,raccoon got into the regulator.,Raccoon,Lake City,AR,United States,https://twitter.com/CraigheadCoop/status/1031358324342706176,,
8/19/2018,"Bird causes chain reaction, causing 6,000 to lose power",Bird,Butte,MT,United States,https://mtstandard.com/news/local/bird-causes-chain-reaction-causing-to-lose-power/article_ff300eba-8356-58c2-b344-bb467d2080f2.html,,
8/17/2018,Post area outage which impacted 385 members was caused by an animal in the lines,Animal,Redmond,OR,United States,https://twitter.com/CentralElectric/status/1030462447704924160,,
8/17/2018,Cause of outage: animal interference. RIP birdie,Bird,Ottawa,ON,Canada,https://twitter.com/hydroottawa/status/1030423365281042434,,
8/16/2018,Looks like outage was caused by a bird or an animal,Animal,Seattle,WA,United States,https://twitter.com/SEACityLight/status/1030283143583019008,,90
8/16/2018,"An outage is affecting 99 customers in Piperville Rd, Hall Rd and Boundary Rd area. We're told a squirrel is having a very bad day.",Squirrel,Ottawa,ON,Canada,https://twitter.com/hydroottawa/status/1030106017848283138,,
8/16/2018,HAWK CARRYING SQUIRREL KNOCKS OUT POWER IN PARTS OF SOUTH TUPELO,Squirrel,Columbus,MS,United States,https://www.wcbi.com/hawk-carrying-squirrel-knocks-out-power/,,
8/15/2018,The cause was a raccoon making contact with electrical equipment.,Raccoon,Huntsville,AL,United States,https://twitter.com/HSVUtilities/status/1029643778024460288,,
8/14/2018,"Power restored in Meriden after more than 3,000 outages reported Tuesday morning",Animal,Meriden,CT,United States,http://www.myrecordjournal.com/News/Meriden/Meriden-News/Power-outage-reported-in-Meriden.html,3000,
8/14/2018,Cause of outage was from a blown fuse resulting from a squirrel making contact with a live conductor.,Squirrel,North Bay,ON,Canada,https://twitter.com/NBHydro/status/1029435430964473857,,
8/13/2018,Squirrel causes power outage in northern Manhattan,Squirrel,Manhattan,KS,United States,https://www.wibw.com/content/news/Thousands-without-power-in-northern-Manhattan-490672841.html,,
8/9/2018,Squirrel blamed for internet blackout,Squirrel,Montpelier,VT,United States,https://vtdigger.org/2018/08/09/squirrel-blamed-internet-blackout/,,
8/8/2018,Squirrel causes power surge in Marquette early this morning,Squirrel,Marquette,MI,United States,https://www.uppermichiganssource.com/content/news/Squirrel-causes-power-surge-in-Marquette-early-this-morning-490367201.html,,
7/30/2018,Centralia Power Outage Sunday Caused by Squirrel,Squirrel,Centralia,WA,United States,http://www.chronline.com/crime/centralia-power-outage-sunday-caused-by-squirrel/article_0d6182ee-9429-11e8-880c-cbd7ff614aa4.html,850,
7/28/2018,The outage in your area was caused by a raccoon. Crews were able to identify the problem and make repairs to restore the power quickly.,Raccoon,Nashville,TN,United States,https://twitter.com/NESpower/status/1023276733225680896,,
7/27/2018,Power has been restored to all customers at approximately 11:00 a.m. A bird was reported as the cause of the outage,Bird,El Paso,TX,United States,https://twitter.com/ElPasoElectric/status/1022892682505596929,,
7/27/2018,Squirrel caused Brewer power outage that affected some traffic lights,Squirrel,Brewer,ME,United States,https://bangordailynews.com/2018/07/27/news/bangor/brewer-power-outage-affects-some-traffic-lights-friday-morning/,3000,30
7/27/2018,Animal causes power outage in Bay County,Animal,Bay City,MI,United States,https://nbc25news.com/news/local/animal-causes-power-outage-in-saginaw-county,1700,
7/25/2018,"Over 6,000 in Knoxville lost power after squirrel entered power substation",Squirrel,Knoxville,TN,United States,https://www.wate.com/news/local-news/over-6-000-without-power-in-knoxville-after-squirrel-enters-substation/1322509550,6000,60
7/25/2018,Con Edison quickly restoring service to Maspeth and Middle Village after morning power outages,Squirrel,Maspeth,NY,United States,https://qns.com/story/2018/07/25/squirrel-apparently-blame-sparking-power-outage-middle-village-affecting-500-con-ed-customers/,500,40
7/24/2018,Squirrel being blamed for brief power outage,Squirrel,Coldwater,MI,United States,http://wtvbam.com/news/articles/2018/jul/24/curious-squirrel-being-blamed-for-brief-power-outage/,,
7/24/2018,We had a outage at 8:00 PM for 35 minutes that affected 74 customers from 12th Ave S to 20 Ave S between 15th and 16th St S. Squirrel,Squirrel,Moorhead,MN,United States,https://twitter.com/mpsutility/status/1021938150451621888,74,
7/22/2018,This morning there was an outage in the Lakeside Ave./Austin Drive/ lower Main Street areas due to animal contact. All power has been restored thank you for your patience.,Animal,Burlington,VT,United States,https://twitter.com/BurlingtonElec/status/1021023210760962048,,
7/22/2018,"Motorist swerves to avoid raccoon, crashing car into power pole",Raccoon,Dartmouth,NH,United States,https://atlantic.ctvnews.ca/motorist-swerves-to-avoid-raccoon-crashing-car-into-power-pole-1.4023340,,
7/20/2018,"Squirrel-caused power outage hits 4,700 in southern Bend",Squirrel,Bend,OR,United States,https://www.ktvz.com/news/squirrel-caused-power-outage-hits-4-700-in-southern-bend/770895735,4700,240
7/20/2018,Our #FitchburgMA system is experiencing an outage affecting ~439 customers. Crews are on scene working quickly and safely to restore power. The outage was a result of a squirrel.,Squirrel,Fitchburg,MA,United States,https://twitter.com/Unitil/status/1020689076461211653,439,
7/19/2018,Squirrel determined to be cause of power outage at housing complex,Squirrel,Killeen,TX,United States,http://kdhnews.com/news/local/squirrel-determined-to-be-cause-of-power-outage-at-housing/article_75bffa42-8ae1-11e8-9256-0ba680d82628.html,,840
7/19/2018,"Outage affecting North West portion of Regina affecting Coventry Place, Westhill, Normanview West, McNab Park, Dieppe, Rosemont and FairwaysWest. Power has been restored, was affected due to a squirrel coming in contact with equipment",Bird,Westhill,SK,Canada,https://twitter.com/SaskPower/status/1019972985556488194,,
7/18/2018,The outage on Thoroughbred has been restored and was caused by a squirrel. Thank you for your patience.,Squirrel,Thoroughbred,OH,United States,https://twitter.com/BGMU/status/1019561869118406658,,
7/16/2018,"squirrels were the cause of the two early morning momentary outages over the weekend. When a squirrel, or other wildlife, comes into contact with the power lines, the breaker trips and then quickly resets",Squirrel,Guelph,OT,Canada,https://twitter.com/GuelphHydro/status/1018863673908105218,,
7/16/2018,Raccoon causes widespread power outages in Iberia and St. Martin,Raccoon,St. Martin,LA,United States,http://www.katc.com/story/38650575/raccoon-causes-widespread-power-outages-in-iberia-and-st-martin,,60
7/16/2018,This is nuts: Second squirrel in a week causes power outages in EBR,Squirrel,Baton Rouge,LA,United States,http://www.wbrz.com/news/this-is-nuts-second-squirrel-in-a-week-causes-power-outages-in-ebr/,2700,
7/14/2018,"Power has been restored to over 5,000 accounts in the Bend-Alfalfa area. @CentralElectric and Pacific Power crews report a bird flew between two phases of power lines which caused a breaker to flip along main transmission lines feeding the area. #cecserviceinfro #cecoutage",Squirrel,Bend,OR,United States,https://www.ktvz.com/news/bird-knocks-out-power-to-10-000-cec-members/768103908,10000,
7/14/2018,Power restored to more than 600 FM area residents after outage,Animal,Fargo,ND,United States,https://inforum.com/news/government-and-politics/4472836-power-restored-more-600-fm-area-residents-after-outage,600,
7/13/2018,Another squirrel causes power outage,Squirrel,Morganton,WV,United States,https://www.morganton.com/news/another-squirrel-causes-power-outage/article_6efcb3ce-86d3-11e8-9788-2b501c0e2b77.html,1400,
7/13/2018,"Friday, 13th, began in Turku: the squirrel dropped to the transformer, electricity fell out of 1,600 economics",Squirrel,Turku,,Finland,http://www.ts.fi/uutiset/paikalliset/4017341/Perjantai+13+paiva+alkoi+Turussa+orava+karistyi+muuntamoon+sahkot+poikki+1+600+taloudelta,1300,
7/12/2018,Bird causes power outage in Grand Junction,Bird,Grand Junction,CO,United States,http://www.kjct8.com/content/news/Bird-causes-power-outage--488067781.html,,
7/12/2018,Australian Ballet performance cut short by rat,Rat,Adelaide ,,Australia,https://www.bbc.com/news/world-australia-44803286,,
7/12/2018,That's nuts! Squirrel to blame for downtown blackout,Squirrel,London,ON,Canada,https://lfpress.com/news/local-news/power-restored-after-morning-outage-hits-downtown-old-south,12000,15
7/12/2018,The cause was animal contact with a transformer. Approximately 5 customers affected. Restoration time was 8:15 am.,Animal,North Bay,ON,Canada,https://twitter.com/NBHydro/status/1017384099600793602,5,
7/11/2018,"Consumers: Animal to blame for outage in GR, Wyoming",Animal,Grand Rapids,WY,United States,https://www.woodtv.com/news/kent-county/3-500-customers-without-power-in-grand-rapids-wyoming/1295308575,3560,120
7/10/2018,Power restored after squirrel causes outages in EBR,Squirrel,Baton Rouge,LA,United States,http://www.wbrz.com/news/power-restored-after-squirrel-causes-outages-in-ebr/,2700,180
